Location Name,Description
 Cullever Steps ,Small plunge pool in narrow rocky valley below Scarey Tor. Some grass for picnics and large rocks for sunbathing. Small Waterfall or Gorge. 1.5m deep. 15m long.
 Shilley Pool ,"Small, dammed plunge pool in brook at edge of moor. Shallow (1m) but set beneath flat rock rapids with nice picnicking grass alongside. Paddling for children. Sheltered and balmy in summer. Park in South Zeal."
" Tarr Steps, Barle ","Ancient stone ‘clapper’ bridge, very popular with children for paddling. Deeper pool of Barle about 20 mins upstream through woods. Good food at pub."
 Sherdon and Landacre ,"Small junction pool of Barle and Sherdon, upstream from popular paddling at Landacre Bridge. Open and sunny with plenty of grass but some bog."
 Rockford Pools ,"Rockford is tiny hamlet next to the tumbling wooded East Lyn above Watersmeet. Good real ale pub and series of small pools with low rock cliffs to jump from. Shady and dark, but good fun."
" Long Pool, Watersmeet ","Watersmeet is a famous National Trust area of wooded river walks. There is a Waterfall or Gorge with small plunge pools by the teashop but 1.5km further on is Long Pool, a rather eerie long ravine and pool overgrown with ferns and oaks, set under a Waterfall or Gorge. Very deep, 50m long. Watersmeet is 2km south of Lynmouth on the A39."
 West Lydford ,"A pretty 100m stretch of river running alongside church lawns between old bridge and weir. Gravel bed by weir, though a bit mushy from old leaves by bridge. Access from either bank of weir. Rope swing. 1.5m deep by weir. 2m under bridge."
 Pamphill ,"A wide stretch of mature river at old ford with weir, bridge and long upstream swimming stretch. Good access and riverside walks. Weedy in places, but clean."
 Badgworthy Pool ,Charming but small plunge pool underneath shallow Waterfall or Gorge and big tree in popular Doone Valley woodland walk. Further shallow pools and paddling at farm and campsite. Setting for Lorna Doone. Teashop.
 Colber Bridge ,"An open stretch of the Stour with grassy fields by elegant white wrought-iron Colber Bridge. A little weedy and slow, but clean and deep. Long swims. Just upstream from overgrown ‘Bather’s Island’."
" Teffont Evias, Nadder ","Small, secret pool under hatches, public right of way, but on wellmaintained fishing beat so don’t swim if fishermen there."
" Claverton Weir, Avon ","100m long weir in wonderful valley of the Avon. Meadow, old ferry crossing steps, long deep water stretches. Shallow paddling areas above weir, play areas under weir near bank. Water generally clean despite Environment Agency rating. Popular. Follow A36 out of Bath (or cut across via university campus)."
" Farleigh Hungerford, Frome ","One of the country’s last river-swimming clubs occupies a pleasant, deep but narrow stretch of the Frome above a weir. Lawns and steps into water, about 1’2.5m deep with gravelly bed. Car parking in field very close by. Changing huts and portaloo."
" Tellisford, Frome ",Sloping green field by large weir pool. Lovely pastoral aspect with trees and hillside. 1m deep by weir wall but much deeper (3m) just upstream under fallen tree. Popular with local kids and sometimes there is litter. Riverbed dry downstream due to hydro extraction.
" Houghton, Test ","A wide, white chalk bay at the end of bridleway in beautiful countryside. Water flowers in early summer (crowsfoot and water buttercup). Shelving white gravel bed. 1m deep under bridge with swift flow."
 Chilbolton Cow Common ,"Ancient rural common bounded by two arms of the Test. Two shallow pools by footbridge, white gravel, very clear and clean. Popular with children. Cold, about 15ﾼC all year round."
 Cuckmere Meanders ,"Wide, shallow, moderately warm oxbow lakes cut off from the main Cuckmere stream. Grass banks and chalky beds. Non tidal and no current. Safe and deep enough for swimming in some places. Stunning setting with option of sea swimming too."
" Ensfield Bridge, Medway ","Open, sunny stretch of peaty brown river by country road. Steep banks but deep water make it good for a longer swim. About 400m of footpath access, though sometimes fishermen. Ensfield Bridge is 1km S of Leigh (B245, B2027 6km W of Tonbridge) or"
" Twyford, Itchen ","Deep, lined pool above footbridge and below hatch. 2m deep. Very clear, clean, though some concrete in bottom. Natural river stretch directly upstream (1m deep)."
" Tilford, River Wey ","Shallow river and ford at confluence of two Weys. Paddling. Quintessential village green, cricket matches and pub. Deeper below ford and upstream of bridge. PARISH COUNCIL HAS RECENTLY DECIDED TO ADD ‘NO SWIMMING’ SIGNS."
" Barcombe Mills, Ouse ","Fantastic 5km stretch of swimming on river Ouse. No current but clean, deep water. Boat hire. Steep banks."
 Hampstead Ponds ,"Swimming ponds in middle of wild, hilly heath. Woody, sheltered aspect, open on one side. Changing areas and lifeguards. Green and deep. Close to train and tube."
 Frensham Great Pond ,"Huge sandy lake with small buoyed-off swimming area shelving to 1.5m deep and 50m wide. Forest and open heathland. Parking, cafﾎ and small museum, Popular with young families."
" Hurley Island, Thames ","An historic village with river parkland, wooded river islands and a 1000-year-old pub. Several places to swim. Can be a bit silty plus upstream bordered by caravan park / campsite."
" Clifton Hampden, Thames ",A pretty bridge and pub featured in Jerome K. Jerome Three Men in a Boat. Sandy bays shelving to deeper water on far bank. Very long swim possible. Backdrop of wild empty meadows. Beware of boats.
" Port Meadow, Thames ",2km of river with little beaches (R bank) and grassy expanses of meadow (L bank). Shelving to up to 2m deep. Beware of boats.
" Eynsford, Darent ","Clear, clean, shallow ford and stream beds at Eynsford (0.5m) though beware of cars. Upstream a pretty stretch of chalk stream running from Lullingstone Castle lake (murky but clean swim above small weir) and Roman Villa."
 Hythe End gravel pits Wraysbury ,"2km long lake one side, Colne river the other. Former gravel pit. Deep water from wooded banks. Drone of motorway and flightpath."
" Minster Lovell, Windrush ","A small, clear, pretty Cotswold river running through the romantic grounds of the ruins. Just deep enough to swim (1m) with deeper section above weir and footbridge in meadows beyond dovecote."
 Chimney Meadows ,"Chimney Meadows nature reserve has a shallow, shady, magical woodland glade. Rushey Lock weir pool is also nearby, the other side of the Tadpole Bridge."
 Buscot Weir ,Buscot weir pool is large deep pool with tree swings and lawns.
 Cheese Wharf ,"Cheese Wharf is a roadside glade, deep pool in river bend, rope swing, possible to dive in from bank."
" Lechlade, Thames ",A popular stretch of Thames upstream from town with good access and a junction pool for swimming. Silty shallows shelving to 2’3m. Watch kids jump from the ha’penny bridge.
 Sellack Bridge ,"Beautiful open common by small church with shingle beach shelving to deep section (2m) on far bank. Elegant white suspension footbridge. Fishermen also fish here and will say it’s dangerous! Poor parking so cycle, walk or canoe."
" Stonesfield, Evenlode ","Pretty footbridge and clear, clean, shallow river on grassy banks below gentle Cotswold escarpment. Does not deepen to more than 80cm. This is the sight of the first ever dinosaur find. Hunt for fossils and also examine the old Roman villa."
 Lugg Meadows ,Large meadows just outside Hereford. Meandering gentle river with deep holes (2m) in bends and plenty of shelving gravel beaches. Long swim also possible the length of meadow (2km) from A4103 to A438.
" Eyton, Lugg and Arrow ","Teme runs through sunny open fields, often shallow but with deep pools above several weirs."
" Leintwardine, Teme ","A stretch of open common with pub, bridge, church and rope swings. Deepish junction pool. Little beaches and fun currents upstream."
 Symonds Yat ,"Small sandy bay, meadows, shelving to 2m. Large rocks on far bank. 5km N of Monmouth on A40 (dir Ross) exit just after services. Follow signs to Symonds Yat West. Follow road 1.5km into village and bear L down steep lane, 100m after Paddocks Hotel, to Ye Olde Ferrie Inn (01600 890 232)."
 Backney Common ,"Ancient but little known common in tight loop of Wye providing large shingle and sandy beach shelving to large deep pool. Undisputed access. Large swan population, with droppings."
 Dedham Vale ,"A beautiful open historic vale, site of Flatford Mill, where people row on boats and occasionally swim. Fen Bridge is a quiet spot with 2m deep river pools and shelving access. Some weeds to watch for. Grade C due to fertiliser content (nitrates) but safe enough to swim."
 River Chelmer near Ulting ,"This is a beautiful stretch of the river Chelmer. Try downstream from Hoemill Bridge and lock, or walk for a mile upstream on towpath to secluded Rushes Lock (51.75086,  0.59836). You will pass the pretty little church of Ulting on the opposite bank (please do not swim from the churchyard). Wide, deep section used by pleasure crafts and slightly brown, but water is some of the cleanest of any Essex river. 2m deep."
" Santon, Little Ouse ","30km further up the A11 from Cambridge. Pretty chalk stream running through forest with shelving access above footbridge next to car park at end of remote lane. Chalky riverbed, up to 2m deep, long swim possible."
 Grantchester Meadows ,"A range of swimming opportunities along 2km of the meadows ending at the Orchard Tea Garden. Deep banks make this good for diving, but it can be muddy! Some weeds but clean. Upstream of the city."
 Outney Common ,"A 3km stretch of the Waveney meandering around open common land. Good water quality, up to 2m deep in parts, popular for canoeing. Many bays and swimming possibilities."
" Lamas, River Bure ","A quiet, rural idyllic stretch of the Bure river, flowing past gardens, fields and a church. Deep and clear running. Banks can be rather wet and marshy."
 Hatchmere ,"A relatively shallow, warm 300m’long lake in the nationally important wildlife area of Delamere Forest. A grassy area next to the B road leads to small reed-lined bays and shallows. The lake deepens to about 3m with plenty of room for a long swim. Be respectful to fishermen."
 Colemere and Ellesmere ,"An area of nine glacial meres. Colemere is remote, beautiful and quiet with a shore path and small sailing club. Sometimes blue’green algae is reported. You are not officially allowed to swim here. Be discreet."
" Chatsworth, Derwent ","A graceful sweep of the river Derwent. Long river pools with fantastic Chatsworth parkland views. Red, sandy river bed and lawns for picnics. Shallows shelving to 2m deep. Be discreet."
" Three Shires Head, Dane ","Two Waterfall or Gorge and plunge pools (shallow, 1m) plus bridges set in the small but wild valley at the headwaters of the river Dane. Famous for counterfeit money and skulduggery. High moor, good views."
 Dovedale and Lathkill ,"A stunning deep limestone gorge with caves, rock spires and shallow pools. Popular stepping stones good for paddling at the S end."
 Mermaid’s Pool ,Tiny moor-top pool steeped in legend with views of The Roaches.
 Slippery Stones ,"On the young river Derwent, downstream of the foot bridge, about a mile up from the car park at the road end of the Derwent / Lady Bower Reservoir. If you can find it there is a very deep pool, about 3-4m. John Robert Shepherds says: “Water crystal clear but tinted brown and strangely fizzy. Imagine swimming in Coke. I’m happy and it shows.”"
 The Warren ,"A popular stretch of commoner’s meadow by the side of the Wye. White shingle beach and shallows below the rapids / bend, and deeper section above. Tree shade. Good for paddlers. Beautiful setting. Rough track with parking."
 Little Canyon ,"An exciting and relatively safe piece of gorge swimming. A pool flows slowly through a deep, narrow channel, 5m wide for about 30m. There’s a large rocky outcrop by path to watch from, or jump in from. Dangerous when flooding."
 Pen-doll Rocks ,An exciting stretch of the Wye narrowing through rocky cliffs. Downstream are safe white sandy bays. Upstream the water deepens through a small gorge with rock formations. Dangerous in high water.
" Crickhowell, Usk ","A large pool, up to 2m deep, beneath the arched medieval bridge of Crickhowell. Rather open and visible, but fun if others are swimming too. Also paddling and shallow pools for miles along path upriver from the bridge."
" Llangynidr, Usk ","Two beautiful, secluded river pools in remote countryside, 30m long with smooth red, flat rocks, 2’3m deep with diving possibilities. Rough going on riverside path."
 Horseshoe Falls ,A fantastic set of deep forest plunge pools beneath a horseshoe-shaped Waterfall or Gorge.
 Sgwd Gwladys / Lady Falls ,"A graceful column of water falls 10m into a deep, large plunge pool set in an amphitheatre in the woods. Swim beneath fall. Climb up behind fall and then dive back in."
" Wash Pool, Irfon ","A wide, open pool at the end of a short gorge with shelving access, about 2m deep. Long swim possible upriver. Car park above grass for picnic."
 Llyn y Fan Fach ,"A high lake in the shadow of the Black Mountain, legendary home of a lake nymph. Deep (18m) and cold (500m altitude) but not as cold as Llyn y Fan Fawr nearby. Fantastic views and sunsets (west facing)."
" Wolf’s Leap, Irfon ","A series of deep pools, about 10m across and 3m deep, at the outflow a narrow, interesting slot gorge. Open, sunny, good for picnics. A valley of wild beauty."
" Pen-y-Fan, Nant Sere ","A string of magical shallow Waterfall or Gorge through fairy woodland under heathercovered hillside, under Pen-y-Fan. Some moss-covered. Pools up to 1m deep."
" Blue Pool, Golwern Quarry ","A very deep, clear green’blue pool (50m x 30m) in a mysterious cavern entered via a short dark tunnel. Views of Cardigan Bay. NO ACCESS – THE ENTRANCE TUNNEL HAS NOW BEEN COMPLETELY LOCKED BY THE LANDOWNER (2019)"
" Blue Lagoon, Moel-y-Faen ","A very deep, completely clear azure blue lake at the bottom of a spectacular quarry crater (Moel-y-Faen). Steep scramble down. Steep cliffs all round. 100m x 20m lake."
 Rhaeadr Mawddach ,"A large deep plunge pool at this littlevisited Waterfall or Gorge, set among the ruins of a former goldmine. Second fall of Pistyll Cain converges also with pool."
 Fairy Glen ,"A picturesque, narrow gorge with access for ﾣ1. Some large rocks to sit on and a deep section down the middle to swim through. The grassy junction pool is also good for a longer, sunnier swim."
 Rhaeadr Du ,"A beautiful wild gorge, off the tourist track, with 2km woodland walk to high Waterfall or Gorge with deep plunge pool. Other pools and paddles along the way. Shady."
 Llyn Dinas ,A 1km-long valley lake at the foot of Snowdon with stunning craggy backdrop. Accessible directly from the main road.
 Lynnau Diffwys ,Two small shallow tarns at 500m at the head of Croesor valley. Fantastic views of Cnicht and the sea. Many other lakes and the ruins of the Rhosydd mine. Also approachable from Croesor.
" Llyn Cau, Cadair Idris ","A huge, dramatic glacial cwm in the crater of Cadair Idris set beneath 400m high mountain walls. It’s a 350m ascent up from the car park, past numerous falls and pools, so even if the lake is cold you’ll be warm when you arrive."
 Llyn Eiddew Bach ,"A tarn in the remote northern Rhinogs, with cliffs for jumping and fabulous views of the sea. Good hotel for aprﾏs-swim cream tea."
 Cwm Pennant ,"A clear blue tarn in a hidden cleft, at the head of one of most remote and beautiful valleys in Snowdonia. Interesting old mine ruins and good hill-walking nearby. 20m x 100m lake."
 Watkins path Waterfall or Gorge ,An extended series of pools and falls starting close to the Snowdon Watkins path. Rather overlooked but popular with walkers.
" Overbeck Br, Wastwater ","Quartz-bedded, very clear, long lake (5km) with good shelving beaches and some of the most stunning scenery in the UK. Good pub and National Trust campsite."
 Llyn Du’r Arddu ,"A deep blue lake set under a 100m steep rock wall, famous in climbing and traditional folklore. Beach on nearside, deeper waters at far rock wall. Arrive close to midday to catch the sun."
" Tongue Pot, Eskdale ","A long series of fantastic pools. Tongue Pot is more dramatic with high jumps possible (5m deep) many small pools above. Kail Pot below is sunnier, shallower (1’2m) and more secluded."
" Gill Force, Eskdale ","A small rocky gorge and pool on the Esk, close to the village of boot with its campsite and pub. Near the little riverside church. Shady. Deep section with rocks to jump from."
" Peel Island, Lake Coniston ",A stretch of wooded rocky headlands with secluded sandy coves. Peel Island sits across a 100m strait.
 Loughrigg Tarn ,"Beautiful small tarn, relatively warm, under skyline of Langdale Pikes. Basic but scenic campsite adjoining."
 Rydal Bower ,"A narrow dark cleft between rock walls and Waterfall or Gorge, crowned with rowan. Very deep (4m) and cold with cliff to jump from. Hidden deep in the woods with magical qualities."
 Buckstones Jum ,"A triangular plunge pool in the fells, open with large pebble beach and large rock slabs. Views down to Rydal Beck. Deep under Waterfall or Gorge (3m)."
" Ulpha Bridge, Duddon ","A popular area of grassy riverside with 300m stretch of pool and shallows, deep section under bridge from which the brave jump. Easy parking, post office and shop nearby. Pretty setting."
 Blackmoss Pot ,"A deep pot with 6m cliff for jumping. Interesting rock formations. Deep section for about 50m downstream. Upstream current under falls can be dangerous. Often teenagers at weekends. Fun, open and sunny. Many other pools further up Langstrath Beck."
 Galleny Force ,"Two sets of pools underneath cascades, about 200m apart. 1’2m deep, about 30m long. Fun for plunging and snorkelling. Rocks, grassy knolls and trees make it perfect for picnics."
" Birks Bridge, Duddon ",A clear stream in a gorge beneath an old packhorse bridge. Swim upstream from the rocks to the Waterfall or Gorge. Beautiful but shady.
 Sprinkling Tarn ,A high tarn in the shadow of Scafell Pike with island and excellent diving and swimming. Popular for wild overnight camping.
 Wain Wath Waterfall or Gorge ,"A wide Waterfall or Gorge, about 3m high, with pleasant plunge pool and open aspect. Limestone cliffs in valley and grassy banks for picnics. Interesting river and rock shapes downstream and good paddling."
 Kisdon Force ,"Two spectacular Waterfall or Gorge deep in a woody gorge. One is 5m high with 80m plunge pool, open and awe-inspiring. The other is 12m high with a 50m wide plunge pool, deep, dark and terrifying!"
 Hell Gill ,"A deep gorge with impressive rock sculptures, shallow stream, small Waterfall or Gorge and midway plunge pool. Dangerous in high water. Scrambling skills required plus ideally rope, wetboots and wetsuit."
 Appletreewick ,"A pretty rocky pool in the river with a small island and bay and rapids upstream. Rope swing on far side, grassy banks and field for picnics. Large shingle beach on far bank downstream too. The water has many submerged underwater rocks, which makes diving dangerous and swimming sometimes difficult."
 Grassington Weir ,"A large grassy area of riverside common with two weirs and a Waterfall or Gorge plus footbridge. Popular, sociable and safe. Good swimming above higher weir and smooth chute (slide) on far side by ruined millhouse."
 Loup Scar ,"A fantastic stretch of grassy riverside incorporating the limestone cliffs and plunge pool of Loup Scar and the shallower, larger, grassy river pool just downstream."
 Ghaistrill’s Strid ,Exciting rocky pools and rapids. Lower pools have interesting snorkelling and a large reach for a longer swim. Also little tubs of warmer standing water in rockpools. Upstream rapids have a chute which is fun on rings but be careful! DANGEROUS CURRENTS IN HIGH WATER. DO NOT SWIM AFTER RAIN.
 Bolton Abbey ,A popular stretch of river in front of the priory ruins. Upstream of stepping stones and bridge is deeper section where people sometimes use boats. Downstream are the shallows but underground rocks make swimming difficult and diving dangerous.
 Strid Woods ,"A shady, deep stretch of river beneath the notorious Strid gorge (do not swim IN the cataract itself). Wide river shelving gently to 3m. Stony bottom. Dappled and glorious on a sunny day. A long swim possible up to entrance of Strid and downstream until it shallows. At weekends the path alongside river can be busy."
 Gormire Lake ,"A large (300m), warm and little-visited lake set in woodland beneath the Sutton Bank escarpment. Squidgy leaf litter mulch at first but water shelves quickly, deepening about 5m offshore. Beautiful views back up to escarpment."
 Thomason Foss ,A plunge pool (20m) set beneath an impressive Waterfall or Gorge at the head of a woodland walk. Starting point at Beck Hole is picturesque.
 Ingleton Waterfall or Gorge ,A busy walk with concrete gangways but many spectacular pools if you don’t mind the crowds. Thornton Force is most popular for swimming / wading.
 Stainforth Force ,A series of river pools and falls set beneath an old packhorse bridge. Grassy banks and good paddling. A deep cauldron into which the brave jump. Longer river pools. Set below a caravan park though peaceful stretches in the field downstream. Peaty water.
 Catrigg and Malham ,An atmospheric Waterfall or Gorge set in woodland on edge of moor with small pool beneath towering rocks.
" Chesters, North Tyne ",Shallow rapids among ruins of collapsed Roman Bridge. Chance to find Roman remains and examine Roman bathing complex. Deeper pools downstream.
 Broomlee Lough ,"Large open moorland tarn set beneath a crag and one of the great forts of Hadrian’s Wall. Marshy, shallow shore in places but deeper in SE corner beneath Dove Crag."
" Linhope Spout, Breamish ","A ‘bottomless’ plunge pot, about 5m wide and circular, beneath a tall spout in a pretty glade that is ideal for picnics. Paddling in shallows of beck."
" Low Force, Tees ","This is the little-known sister of High Force. Still very large but with a deep, calm pool on a side channel by a wooded island."
 Falling Foss ,"A tall plume and small deep plunge pool (10m high, 2m deep) at the head of a forested gorge. Shingle beach. Overlooked by path but feels secluded. Difficult scramble down."
" Union Bridge, Tweed ","Wide (80m), shallow (1m), fast flowing stretch of Tweed, downstream of bridge. Fun to swim against current and cross to Scotland! Dangerous in high water."
" Sillmoor, Coquet ","Open meadows and moorland along banks of delightful River Coquet. Some rapids and a fall, but mainly intermittent river pools about 2m deep."
 Lower Glen Etive ,A long river canyon with high cliffs and deep water. Popular for wild camping. As for Higher Glen Etive but 6.5km from main road you will come to a turning on L with a bridge and gates (Alltchaorunn).
 Higher Glen Etive ,A dramatic glen with perfect river pools running very close to road. Good pub nearby in the grandeur of Glen Coe.
" Faerie Pools, Bla Bheinn ",Dramatic Waterfall or Gorge gorge and numerous pools on route up to Bla Bheinn. Stunning and wild backdrop. Beautiful clear water.
" Faerie Pools, Glen Brittle ","Deep pools and Waterfall or Gorge, tinged with pink and blue hues, set under the peaks of the Black Cuillins. Perfectly clear water and underwater arch to swim between pools."
 The Witch’s Cauldron ,A series of three falls and three pools set in quick succession by roadside. Interesting rock formations.
 Loch Beinn a Mheadhoin ,"Stunning islanded lake, rich in original Caledonian pine. Many places to swim from shore and potential to swim out to islands if you have boat support."
 Plodda Falls ,"Deep, large, black plunge pool (30m) at base of Scotland’s second highest Waterfall or Gorge. Difficult scramble but stunning views in this deep forested canyon."
 Dog Falls ,Beautiful stretch of river among woods of Scots pine. Good plunge pools above falls. Further down there’s a deep canyon and you can swim up to the base of falls.
 Rha Burn and Faerie Glen ,Small lake by roadside in the pointyhilled Faerie Glen. Large Waterfall or Gorge plunge pool nearby.
 Linn of Dee ,A dramatic gorge cutting down under an elegant Victorian bridge to deep pools and river beaches in open woodland.
 Randolph’s Leap ,"Stunning wooded gorge on mythical River Findhorn, descending to rocky headlands with access to river beaches and very large river pool (100m long, 2’3m deep) with islands. Some shallows for paddling."
 Dulsie Bridge ,"Stunning gorge with rapids above and deep pools, Waterfall or Gorge and sandy cove below."
 Loch Ness ,"Britain’s longest lake and home to Nessie. Secluded place to access shoreline opposite dramatic Urquhart Castle, down through fields. Rocky shelving shoreline."
 Feshiebridge ,"Fabulous clear water flows down rapids into a large (100m) river pool (1’2m deep) with white shingle beach opposite. Interesting rock shapes and patterns. A large Scots Pine on riverside provides wonderful shade. A great fun location and one of the few with clear, non-peaty water."
 Cambus o’ May ,"A gently shelving section of river beach, deepening to 4m, with large flat rocks on the nearside. Elegant white Victorian suspension footbridge. Pretty setting on a curving sweep of the Dee."
 Soldier’s Leap ,"A beautiful wide gorge opening out to very large, still river pool (200m). Access is a scramble but peaceful and private once there. Railway line passes above L. White pebble beach on far side."
 Loch Lomond and Katrine ,Remote stretch of northern Loch Lomond on West Highland Way. Steep wooded rocky loch sides lead down to Rob Roy’s Cave and the water. Inversnaid can be reached by ferry from Inveruglas (01877 386223) on A82 or via a long (24km) scenic drive from Aberfoyle.
 Rob Roy’s Bathtub ,A huge plunge pot under a great Waterfall or Gorge. The Falls of Falloch are spectacular and the great lido they have carved provides a large area in which to swim and dive. Further pools about 100m downstream.
 Sheriff Muir Paradise Pools ,"A perfect, if small, plunge pool in open countryside with a fun rock slide. Above are 100m of further little pools and cascades in woods."
 Strathmashie ,A large calm pool beneath Waterfall or Gorge on River Pattack in Strathmashie community forest next to car park. Pretty small beach area. Popular with wild campers and very near main road.
 Loch an Eilein ,"A small, romantic loch at the foot of the Cairngorms, with a tiny ruined castle on an island set 100m offshore."
 Bude Sea Pool ,Beautiful tidal pool which curves under the cliffs on the North Cornwall coast. Semi-natural construction and filled twice daily at high tide with sea water (so totally untreated and unheated).
" Coastal – Tanners Lane, Lymington ","Great remote location for pool swimming at mid tide. Can park right on beach (but watch the tide!) with long stretch of beach going east. Tucked behind in the woods is a massive lake and although very enticing for swimming, we found the pond weeds a bit hard to contend with!"
" Thames dip, near Grafton Lock ",This is a quiet stretch of the Thames between Lechlade and Radcot.
 Hampshire Open Water Swimming Centre ,"The Hampshire Open Water Swimming Centre is a new facility that has just opened to the public for open water swimming! Come along and join me on a Monday evening 19:00-21:00, Wednesday morning 0630-0900 or a Saturday morning 08:00-10:00."
 Hellfire Corner ,This is where I go every year for a spot of Wild Sea Swimming. In the shadow of the huge chalk cliffs on a balmy summer evening there is nothing I like better than hobbling across the tumbled flint pebbles and swimming out into the English Channel to look back at the lights coming on in the houses along the cliff. The warm glow of the Coast Guard Pub (formerly The Green Man) lures you back for a Spiced Rum on the verandah as the sun sets. My ultimate nostalgic summer pastime with so many happy memories attached.
 Achmelvich ,"There is a beautiful bay about 500m to the north of the Achmelvich campsite in Assynt. It’s sheltered from the wind by cliffs on three sides, the water is beautiful and clear and the sand is so clean and white."
" Tenaya Lake, Yosemite National Park ","Surrounded by granite domes and lodgepole pine forests, Tenaya Lake is the crown jewel of Yosemite National Park’s high country. Set at 8,150 feet (2.484 m), the silver blue lake is a beautiful sight to behold right after you pass Olmsted Point. Crossing the lake is roughly a mile and wetsuits are recommended because of the temperature. The lake is deep and visibility down to roughly 50 feet. A few tree stumps under water surface, invisible from above. Skirt the edges for maximum safety. No lifeguards on duty. Wetsuit crossing described here: http://frogmom.com/2009/07/across-tenaya-lake-open-water-swimming-at-8150-feet/"
" Lake Iskanderkul, Tajikistan ","This triangle-shape mountain lake is set at 2,195 m in the Fan mountains of Tajikistan and accessible only by foot. With an area of 3.5 square kilometer, it is a gigantic lake surrounded by steep rocky slopes and hardly a tree. The area has been heavily logged and vegetation is on the low side. Fed with snow-melt from surrounding glaciers, the lake’s waters are pretty cold. Cross at your own risk. I swam it solo with no wetsuit and had no problem 13 years ago. Crossing one way took me about an hour. I warmed up on the other side and came back same way, stopped for a few minutes on a rock about 200 meters off shore. Beautiful landscape though, really incredible to be in the middle of this lake surrounded by tall and majestic peaks."
 Blea Tarn ,"Blea Tarn is a nice place for swimming after a steep walk up from the valley bottom. The water is fairly irony due to local mineral deposits, and there is a good entry point on the south side."
 Eastleigh Lakeside ,Open water swimming lake in Hampshire. Set in the beautiful Lakeside Country Park it is the perfect lake to get back into or start open water swimming.
" Colne Brook, Wraysbury ",Colne Brook between Wraysbury Station and Hythe End.
 Chippenham River Festival Big Swim ,Chippenham River Festival is an annual celebration of the River Avon which flows right through the heart of Chippenham.
 Lower Buckton & The Millstream Camp ,Lower Buckton Country House & The Millstream Camp.  Stunning bed and breakfast in fab old farmhouse and unique Shepherd’s Hut with tipi for private glamping beside a babbling brook.  Off the beaten track in a tranquil rural setting on the north Herefordshire south Shropshire borders where England meets Wales.  Wild swimming in private millstream-pond at bottom of the garden or take yourself off along the riverside walks and dip in and out of the rivers Teme and Clun.
" River Teme, Leintwardine ","Nice quiet spot in the summer at the joining of the River Teme and River Clun for a swim or a paddle. The River Teme lazily winds it’s way towards the site through a lovely green meadow and is mainly warm, clear and shallow. The River Clun runs towards the site through a confluence and (I’m assuming) was used as the old mill stream."
